,title,date,result,explain,tag
0,武汉病毒所女研究生黄燕玲是新冠肺炎零号病人,2020-02-16,假,谣言,"['新型冠状病毒肺炎', '零号病人']"
1,大家可以用室内臭氧去杀死新型冠状病毒,2020-02-16,假,伪科学,"['室内臭氧', '消毒']"
2,多喝热水姜汤、运动、盖被子、晒太阳能预防新冠病毒,2020-02-16,假,谣言,"['新型冠状病毒', '热水']"
3,艾叶和艾灸可以杀毒除菌，预防新型冠状病毒肺炎,2020-02-16,疑,存在争议,"['艾草', '肺炎']"
4,2月17日起至疫情防控结束全国高速所有车免费通行,2020-02-16,真,确有此事,"['新冠肺炎', '高速公路']"
5,下雪天不要玩雪，会感染新型冠状病毒,2020-02-16,假,谣言,"['雪天', '玩雪']"
6,沉香可以预防新型冠状病毒,2020-02-15,假,谣言,"['新型冠状病毒', '沉香']"
7,化橘红可以缓解新型冠状病毒肺炎症状,2020-02-15,疑,尚无定论,"['新型冠状病毒', '化橘红']"
8,卫生间排气扇形成的负压会把下水管的病菌抽在空气里,2020-02-15,疑,有失实,"['排气扇', '病菌']"
9,美国华裔专家的“自救措施”能治疗新型冠状病毒肺炎,2020-02-15,假,伪科学,"['维生素C', '新型冠状病毒']"
10,澳洲斥资20亿澳元专门开发新冠肺炎疫苗,2020-02-15,疑,有失实,"['澳大利亚', '新型冠状病毒']"
11,印度南部新冠肺炎大爆发，几十人确诊数千人隔离,2020-02-15,假,假新闻,"['印度', '新型冠状病毒']"
12,穿防静电服能隔绝新型冠状病毒,2020-02-15,假,伪科学,"['新型冠状病毒', '医用防护服']"
13,共用水银腋下体温针会造成交叉传染,2020-02-15,假,谣言,"['新型冠状病毒', '接触传播']"
14,湖北产的大米上可能有新型冠状病毒,2020-02-15,假,谣言,"['湖北', '大米']"
15,疫情期间吃水果必须削皮,2020-02-15,假,谣言,"['水果', '新型冠状病毒']"
16,煮好的花椒水可以医治新型冠状病毒肺炎,2020-02-15,假,谣言,"['新型冠状病毒', '花椒']"
17,等离子空气消毒机可以杀灭新型冠状病毒,2020-02-15,疑,尚无定论,"['等离子', '新型冠状病毒']"
18,香囊可以预防新型冠状病毒,2020-02-14,假,伪常识,"['香囊', '新型冠状病毒']"
19,戴隐形眼镜会增加感染新冠病毒的几率,2020-02-14,假,伪科学,"['隐形眼镜', '增加染病风险']"
20,新冠病毒康复者的血浆能有效治疗重症患者,2020-02-14,疑,尚无定论,"['血浆', '新型冠状病毒']"
21,一次性口罩垫片可以起到防护作用,2020-02-14,疑,分情况,"['口罩', '口罩垫片']"
22,准备15个口罩，一天一个，用完密封，可以循环使用,2020-02-14,疑,有失实,"['新型冠状病毒', '口罩']"
23,含有抗菌成分的肥皂比普通肥皂有效,2020-02-14,假,伪科学,"['肥皂', '抗菌']"
24,因为喝马黛茶，阿根廷人很少得传染病,2020-02-14,假,谣言,"['阿根廷', '马黛茶']"
25,2月16日温州市居民出行正常化,2020-02-14,假,谣言,"['温州', '新型冠状病毒']"
26,浙江一新生儿取名为“戴口罩”,2020-02-14,假,谣言,"['浙江', '新生儿']"
27,疫情大爆发，上海新增确诊病例三千多例,2020-02-13,假,谣言,"['上海', '新型冠状病毒']"
28,天气暖和从南方回归北方的鸟会带回病毒，感染人类,2020-02-13,疑,有失实,"['新型冠状病毒', '疾病传播']"
29,甘草酸二铵＋维生素C＋芦丁片可以缓解新冠肺炎,2020-02-13,疑,尚无定论,"['甘草酸二铵', '维生素C']"
30,钟南山团队研究表明，吸烟者病毒感染率远低于非烟民,2020-02-13,假,谣言,"['钟南山', '吸烟']"
31,武汉男子口罩喷酒精戴，坐电梯遇84消毒瞬间死亡,2020-02-13,假,谣言,"['酒精', '84消毒液']"
32,网上流传的“日本冠状病毒防疫指南”是日本官方指南,2020-02-13,假,谣言,"['冠状病毒', '日本']"
33,有空看看，东部战区总院呼吸科权威宋勇新冠病毒回答,2020-02-13,假,谣言,"['宋勇', '新冠肺炎']"
34,吃野菜会感染新型冠状病毒,2020-02-13,假,谣言,"['野菜', '新型冠状病毒']"
35,进门前把衣物放到整理箱密封，4小时后细菌就死透了,2020-02-13,假,伪科学,"['新型冠状病毒', '酒精']"
36,肺部自测：憋气50秒以上，肺功能强大,2020-02-13,假,伪科学,"['憋气', '肺炎']"
37,每15分钟喝一口水保持喉咙湿润可预防新型冠状病毒,2020-02-13,假,伪科学,"['新型冠状病毒', '传染病']"
38,上海市已经官宣5月1日开学,2020-02-12,假,谣言,"['上海', '教育']"
39,阴雨天和大雾天会增加新冠病毒感染风险,2020-02-12,疑,尚无定论,"['新型冠状病毒', '传染病']"
40,男性精液能抑制新型冠状病毒,2020-02-12,假,谣言,"['新型冠状病毒', '埃博拉病毒']"
41,消毒卡挂身上能预防新型冠状病毒,2020-02-12,疑,有失实,"['消毒卡', '新型冠状病毒']"
42,左氟沙星眼药水可以防止新冠病毒从眼部进入,2020-02-12,假,谣言,"['左氟沙星眼药水', '新型冠状病毒']"
43,湖北随州一家人因染病厌世从27楼往下撒钱,2020-02-12,假,谣言,"['湖北随州', '新型冠状病毒']"
44,武汉火神山医院3万月薪招保洁员,2020-02-12,假,谣言,"['武汉', '火神山医院']"
45,钟南山称赞吃牛羊肉的蒙古同胞身体好,2020-02-12,假,谣言,"['钟南山', '牛羊肉']"
46,拔头两侧的白发可以防治新型冠状病毒肺炎,2020-02-12,假,谣言,"['新型冠状病毒', '接触性皮炎']"
47,钟南山亲自送女儿援助湖北,2020-02-12,假,谣言,"['钟南山', '李少芬']"
48,雄黄可以杀死新型冠状病毒,2020-02-12,假,伪科学,"['雄黄', '新型冠状病毒']"
49,99.7%的无水乙醇可以稀释到75%后作消毒用,2020-02-12,真,确实如此,"['消毒', '乙醇']"
50,用火烧不着的口罩是真口罩,2020-02-11,假,伪科学,"['口罩', '材质']"
51,松茸蘑菇能预防新型冠状病毒,2020-02-11,假,伪科学,"['松茸', '新型冠状病毒']"
52,新型冠状病毒肺炎是自限性疾病,2020-02-11,真,确实如此,"['新冠肺炎', '自限性疾病']"
53,塑料袋装水堵地漏，能防止气溶胶传播病毒,2020-02-11,假,伪科学,"['地漏', '气溶胶传播']"
54,苏州一企业提前开工员工确认感染，隔离200余人,2020-02-11,假,谣言,"['苏州', '新型冠状病毒']"
55,口罩放到烤箱烤30分钟后还可以继续使用,2020-02-11,疑,分情况,"['口罩', '消毒']"
56,印尼因为费用太高不对回国学生检测,2020-02-11,疑,有失实,"['印尼', '撤侨']"
57,益生菌能防治新型冠状病毒肺炎,2020-02-11,假,谣言,['益生菌']
58,非上海户籍不再列入新增确诊病例中,2020-02-11,假,谣言,"['新型冠状病毒肺炎', '上海']"
59,闻洋葱能预防新型冠状病毒肺炎,2020-02-10,假,谣言,"['新型冠状病毒', '洋葱']"
60,钟南山：新冠肺炎治愈后会留后遗症，比SARS严重,2020-02-10,假,谣言,"['钟南山', '新冠肺炎']"
61,来自抗击疫情一线消息，李留树博士刚从武汉打来电话,2020-02-10,假,谣言,"['瑞德西韦', '新型冠状病毒']"
62,深呼吸后屏气5-10秒，如果没咳嗽，说明没有肺炎,2020-02-10,假,谣言,"['深呼吸', '新型冠状病毒']"
63,用纸尿裤（尿不湿）制作口罩可防护新型冠状病毒感染,2020-02-10,假,伪科学,"['新型冠状病毒', '尿不湿']"
64,北京2月10日晚对全市主干道进行大面积消毒工作,2020-02-10,假,谣言,"['北京', '新型冠状病毒']"
65,2月9、10日晚，广州采取雾炮，对全城进行大消杀,2020-02-10,假,谣言,"['广州', '新型冠状病毒']"
66,济南市2月10日晚上12点大面积消杀、消毒,2020-02-10,假,谣言,"['济南', '主干道消杀']"
67,哈佛八剑客、李开复、庄晓莹集体回国援助武汉,2020-02-10,假,谣言,"['哈佛八剑客', '新型冠状病毒']"
68,可以通过防水与否鉴别口罩的真假,2020-02-10,假,伪科学,"['新型冠状病毒', '口罩']"
69,吃猪肉会感染新型冠状病毒,2020-02-10,假,谣言,"['猪肉', '新型冠状病毒']"
70,外国人去过公厕就感染，机场车站公厕高风险，别去,2020-02-10,疑,有失实,"['新型冠状病毒', '粪口传播']"
71,为了降低气溶胶传播几率，应该把二氧化氯放进加湿器,2020-02-10,假,谣言,"['新型冠状病毒', '气溶胶传播']"
72,新型冠状病毒属于SARS冠状病毒,2020-02-09,假,谣言,['新型冠状病毒']
73,公共厕所常见的干手器能在30秒内杀死新型冠状病毒,2020-02-09,假,伪科学,"['新型冠状病毒', '干手机']"
74,新型冠状病毒会通过气溶胶传播,2020-02-09,疑,尚无定论,"['新型冠状病毒', '飞沫']"
75,山东兰陵县146万人无一感染，因其为大蒜种植区,2020-02-09,假,谣言,"['山东兰陵县', '大蒜']"
76,钟南山说素食者不会感染新冠病毒,2020-02-09,假,谣言,"['素食者', '新型冠状病毒']"
77,电动口罩可以预防新型冠状病毒,2020-02-09,疑,分情况,"['电动口罩', '新型冠状病毒']"
78,李文亮医生生前视频曝光,2020-02-09,假,谣言,"['李文亮医生', '跳舞']"
79,气溶胶多在ICU因呼吸机等操作产生，一般环境罕见,2020-02-09,真,确实如此,"['气溶胶', '新型冠状病毒']"
80,北京乘坐公交地铁要看身份证,2020-02-09,假,谣言,"['北京', '地铁']"
81,成都乘坐公共交通工具需要身份证,2020-02-09,假,谣言,"['成都', '公共交通工具']"
